final_gene,count,total_patents
MFSD13A,1,7
MFSD2A,1,1
MICA,9,44
MIEN1,2,6
MIF,19,84
MISP,1,3
MME,1,1
MMP12,2,3
MMP13,3,5
MMP14,4,9
MMP16,1,2
MMP3,1,4
MMP8,1,4
MMP9,6,46
MOG,2,5
MPL,4,17
MRC1,8,22
MRC2,3,12
MS4A1,2,13
MS4A2,5,23
MSLN,53,171
MSR1,1,4
MST1R,1,1
MSTN,11,154
MTMR1,1,1
MTOR,1,1
MUC1,49,221
MUC13,2,1
MUC16,10,61
MUC17,3,6
MUC4,2,3
MUC5AC,4,35
MUSK,1,4
MYC,1,0
MYH7,2,2
MYL9,1,3
MYO1G,1,1
NAMPT,1,3
NCAM1,4,13
NCL,3,9
NCR1,8,26
NCR3LG1,4,18
NECTIN2,1,2
NECTIN4,1,16
NELL2,1,1
NFKBIB,1,4
NGF,25,212
NGFR,1,2
NGLY1,4,46
NID1,1,1
NINJ1,1,3
NMB,5,24
NMRK1,2,2
NOC2L,2,1
NOTCH1,8,53
NOTCH2,4,44
NOTCH3,9,75
NOTCH4,3,9
NPPA,2,10
NPPB,1,6
NPR1,1,5
NPW,1,2
NPY,1,2
NRCAM,1,1
NRG1,3,8
NRL,2,3
NRP1,8,28
NRP2,3,15
NTF3,1,2
NTRK2,1,1
NTS,1,10
NTSR1,2,3
OLFML3,1,6
OPRL1,2,3
OR10H1,1,1
OSCAR,3,9
OSM,5,26
OXLD1,5,18
P2RX4,2,6
PADI2,2,5
PADI4,4,7
PAF1,1,2
PAX8,1,3
PCA3,1,4
PCGF3,1,4
PCNA,1,4
PCSK9,31,300
PDCD1,169,1051
PDCD1LG2,7,32
PDGFB,8,23
PDGFC,3,8
PDGFD,2,8
PDGFRB,8,34
PDK1,1,1
PDSS1,4,9
PECAM1,2,3
PF4,5,18
PGF,5,19
PGLYRP1,2,14
PI16,2,4
PIDD1,7,4
PILRA,1,9
PIWIL2,1,1
PKM,1,2
PLA2G2D,1,1
PLA2G4A,4,7
PLA2R1,1,1
PLAC1,1,0
PLAT,2,3
PLAU,3,14
PLAUR,10,17
PLCL1,1,1
PLD3,1,6
PLD4,1,8
PLEC,1,6
PLG,1,3
PLXNA1,1,5
PLXNB1,1,2
PMEL,3,9
PODXL,6,35
PODXL2,2,4
POLR1A,1,10
POMC,2,14
POSTN,7,16
PPBP,1,3
PPP2R2A,1,1
PRAME,2,6
PRDX4,1,1
PRDX6,1,2
PRF1,1,5
PRG3,1,2
PRG4,1,3
PRLR,7,67
PRNP,4,10
PROC,4,14
PROCR,2,4
PROK2,2,9
PROKR1,1,5
PROM1,11,23
PROS1,9,33
PRRX1,1,1
PRSS1,1,3
PRSS21,1,3
PSAT1,4,8
PSCA,6,30
PSEN1,3,8
PSEN2,1,1
PTGER4,1,5
PTGES2,1,4
PTGFRN,1,3
PTH,1,2
PTH1R,1,4
PTHLH,1,4
PTK2B,1,3
PTK7,6,22
PTN,1,1
PTP4A1,1,6
PTP4A3,1,6
PTPN1,1,4
PTPN11,1,5
PTPRB,1,1
PTPRC,13,58
PTPRE,1,23
PTPRJ,1,5
PTPRT,1,3
PTX3,1,2
PVR,4,16
PVRIG,8,49
PWAR1,2,7
PWAR4,1,2
PYCARD,1,4
RAB10,1,2
RAMP2,1,1
RAMP3,1,4
RBM45,2,9
RBMX,1,3
RET,1,2
RGMA,3,43
RNF115,7,38
RNF43,1,1
ROR1,48,149
ROR2,9,18
RORC,9,25
ROS1,1,1
RPA1,1,1
RPH3A,1,1
RPS12,1,0
RRAGB,2,9
RTN4,4,7
RTP3,1,5
RXFP1,1,2
RXYLT1,1,2
S100A4,4,11
S100A7,1,3
S100A9,5,12
S100B,2,3
S100P,1,5
S1PR1,2,33
S1PR4,1,1
SCN11A,2,10
SCN2B,1,3
SCN5A,1,2
SCN9A,10,40
SDC1,9,31
SDC2,5,34
SDC3,1,2
SDC4,1,1
SELE,6,15
SELL,2,4
SELP,2,34
SELPLG,6,29
SEMA3A,5,20
SEMA4A,1,1
SEMA4B,1,1
SEMA4D,3,42
SEMG2,1,3
SERPINA5,1,2
SERPINB13,1,2
SERPINE1,6,21
SERPINE2,1,2
SETD4,1,1
SEZ6,1,20
SEZ6L2,1,2
SFRP1,1,1
SFRP2,1,3
SFRP4,1,1
SFRP5,1,3
SIGLEC10,3,5
SIGLEC12,1,1
SIGLEC15,13,60
SIGLEC5,1,6
SIGLEC6,2,1
SIGLEC7,4,26
SIGLEC8,1,29
SIGLEC9,6,24
SIRPA,26,89
SIRPB1,2,3
SIRPG,1,3
SIX1,6,37
SLAMF1,1,1
SLAMF6,2,18
SLAMF7,1,0
SLC12A1,1,3
SLC15A4,1,5
SLC16A1,2,1
SLC16A11,1,1
SLC16A4,1,1
SLC16A5,1,2
SLC17A4,1,1
SLC17A5,1,1
SLC25A38,5,9
SLC29A1,1,3
SLC2A4,1,2
SLC2A8,1,5
SLC30A8,2,3
SLC35F6,1,0
SLC35G1,1,2
SLC37A4,4,11
SLC39A12,1,0
SLC3A2,13,35
SLC40A1,2,10
SLC44A3,1,3
SLC44A4,2,13
SLC45A2,1,1
SLC4A1,5,10
SLC4A4,18,118
SLC4A7,1,3
SLC6A6,2,7
SLC7A11,1,5
SLC7A2,2,16
SLC7A7,2,5
SLCO4A1,3,18
SLPI,1,1
SMC1A,1,1
SMO,1,2
SMPD1,1,2
SNCA,24,230
SOD1,8,29
SORT1,4,38
SOST,12,134
SOSTDC1,2,6
SPARC,1,8
SPINK1,1,3
SPNS2,1,2
SPP1,12,20
SRPX2,1,1
SSTR2,3,7
ST3GAL5,1,1
ST3GAL6,1,12
ST6GAL1,1,0
ST7,1,2
STAB1,1,7
STAT3,3,14
STEAP2,1,4
STIM1,1,4
STRADA,1,2
STX1A,3,3
STX2,1,0
SUGP1,1,2
SYK,1,3
SYP,1,3
TAAR2,1,1
TACR3,1,1
TACSTD2,37,181
TAF15,1,2
TAFA1,1,1
TAFA5,1,29
TAP2,1,3
TARDBP,10,35
TAX1BP3,2,9
TDRD3,1,0
TEK,8,65
TENM4,1,1
TERT,1,1
TF,1,4
TFF1,1,1
TFRC,33,150
TGFA,4,12
TGFB1,38,147
TGFB2,2,2
TGFB3,6,9
TGFBR2,8,27
THBS2,1,1
TIE1,2,0
TIGIT,54,195
TIMD4,3,6
TIMP1,1,10
TKT,2,7
TLL1,1,1
TLL2,1,1
TLR2,5,23
TLR3,3,42
TLR4,3,44
TLR7,2,9
TLR9,3,12
TMCO3,1,3
TMEFF2,1,5
TMEM106B,3,22
